wiek	naukaLata	edukacja	plec	wiaraZyciePo	szczescie	jakieZycie	fortunaEndPraca	gazetyCzesto	ogladaTVGodz	korzystaWWW	zodiak	dochod	ileGodzPracuje
25	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Nie	Codziennie	1	Tak	Waga	$30000 TO 34999	8
43	16	Licencjat	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Tak	NA	NA	Tak	Skorpion	$110000 OR OVER	11
47	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Tak	Codziennie	1	Nie	Ryby	$90000 - $109999	10
46	14	Szkola srednia	Kobieta	Tak	Nieszczesliwy	Rutynowe	Nie	NA	NA	Tak	Byk	$60000 TO 74999	11
71	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Tak	NA	NA	Nie	Panna	$20000 TO 22499	2
51	12	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	Rutynowe	NA	Mniej niz raz w tygodniu	4	Nie	Ryby	UNDER $1 000	7
37	15	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	NA	NA	Raz w tygodniu	3	Nie	Ryby	$40000 TO 49999	8
23	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Rutynowe	Tak	Kilka razy w tygodniu	6	Nie	Lew	$35000 TO 39999	5
33	16	Licencjat	Kobieta	Tak	Nieszczesliwy	NA	NA	Codziennie	1	Tak	Panna	$90000 - $109999	11
69	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	NA	Kilka razy w tygodniu	5	Tak	Byk	$25000 TO 29999	2
57	16	Licencjat	Kobieta	Nie	Bardzo szczesliwy	Ekscytujace	Nie	Codziennie	1	Tak	Panna	$40000 TO 49999	9
42	16	Licencjat	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Codziennie	3	Tak	Skorpion	$50000 TO 59999	7
63	17	Magisterium	Kobieta	Tak	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Tak	Panna	$75000 TO $89999	5
77	8	Szkola zawodowa	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	NA	Nigdy	1	Tak	Koziorozec	$12500 TO 14999	1
26	14	Szkola zawodowa	Mezczyzna	Tak	Nieszczesliwy	NA	NA	Nigdy	1	Tak	Strzelec	$22500 TO 24999	12
51	20	Magisterium	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Wodnik	$60000 TO 74999	11
76	16	Licencjat	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	NA	Codziennie	3	Nie	Panna	$50000 TO 59999	1
21	10	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Nie	Kilka razy w tygodniu	3	Tak	Wodnik	$40000 TO 49999	7
20	9	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	NA	NA	Nigdy	1	Tak	Skorpion	$35000 TO 39999	10
71	14	Policealna	Kobieta	Nie	Bardzo szczesliwy	Ekscytujace	NA	NA	NA	Nie	Koziorozec	$40000 TO 49999	3
